Hour	Minute	Time	Presenter	Title
0	0	15:30	Jake Esselstyn	Interrogating difficult nodes in the placental mammal tree
0	5	15:35	Mark Swanson	"Mice, squirrels, and guinea pigs: resolving a tricky node in the rodent tree"
0	10	15:40	Bryan McLean	Impacts of phylogenomic dataset filtering for resolving a rapid radiation of ground squirrels
0	15	15:45	Jonathan Chang	A complete ray-finned fish phylogeny using taxonomy and birth-death models
0	20	15:50	Guillermo Orti	In silico target capture fish phylogenetics
0	25	15:55	Lily Hughes	In silico capture fish phylogenetics
0	30	16:00	Jessie Salter	A phylogenomic hypothesis of relationships among Typical Owls (Strigidae)
0	35	16:05	Carl Oliveros	A fossil-calibrated time tree of passerines
0	40	16:10	Diego Morales-Briones	Systematics and phylogenomics of the neotropical radiation of Lachemilla (Rosaceae)
0	45	16:15	Dahiana Arcila	Genome-wide interrogation advances resolution of recalcitrant groups in the Tree of Life
0	50	16:20	Ricardo Betancur	Gene genealogy interrogation and the root of the angiosperm tree: overwhelming support for the Ambor
0	55	16:25	Ya Yang	Building genomic resources towards a model clade in the highly diverse plant group Caryophyllales
1	0	16:30	David Swofford	New developments in the SVDQuartets method for species-tree inference
1	5	16:35	Matt Hahn	Why concatenation fails in the anomaly zone
1	10	16:40	Alan Lemmon	Anchored phylogenomics across the Tree of Life
1	15	16:45	Paul Hime	What the hellbender?! Genomic data reveal cryptic diversity in North America's largest salamander
1	20	16:50	Nathan Upham	Rates and drivers of species-level diversification in global Mammalia
1	25	16:55	Jack Craig	"Revision of the electric fish Gymnotus carapo, a eurytopic, polytypic species with seven subspecies"
